Strike Price,Call IV,Call LTP,Call OI,CHNG Call OI,Put LTP,Put OI,CHNG Put OI,Put IV
43600,0.0,883.85,4346,3367,37.9,49997,31980,13.08
43700,0.0,794.85,6626,3826,45.8,64700,33403,12.63
43800,0.0,700.0,18757,8656,56.55,93671,66069,12.33
43900,0.0,600.05,17970,-1445,68.9,105230,75124,12.01
44000,7.2,533.0,79689,-21176,85.2,219526,114805,11.72
44100,7.98,453.7,39539,-7227,105.5,99796,58276,11.51
44200,8.2,378.2,46666,-23186,131.85,96419,64785,11.35
44300,8.02,305.0,60152,-3317,164.0,77927,58528,11.22
44400,8.44,247.3,75335,19958,203.7,89309,77404,11.18
44500,8.31,193.6,178396,38354,249.65,100698,30250,11.17
44600,8.45,152.0,100850,41197,301.85,21727,10765,11.08
44700,8.55,114.25,84086,23868,362.55,16881,4043,11.53
44800,8.59,84.85,109647,57198,431.55,9494,3335,11.45
44900,8.67,61.15,54311,22176,515.1,6299,4168,12.16
45000,8.8,44.25,158751,48389,595.4,23747,2911,12.61
45100,9.16,34.45,35033,14292,679.3,2050,1283,12.91
45200,9.27,24.4,60115,27780,770.15,2694,1213,13.68
